decade,documents,word_count,y_count,y_freq_10k,i_count,i_freq_10k,ab_count,ab_freq_10k,amb_count,amb_freq_10k,lo_count,lo_freq_10k,los_count,los_freq_10k,el_count,el_freq_10k,els_count,els_freq_10k,a_acute_count,a_acute_freq_10k,a_grave_count,a_grave_freq_10k,cedilla_count,cedilla_freq_10k,ny_count,ny_freq_10k,ss_count,ss_freq_10k,qu_diaeresis_count,qu_diaeresis_freq_10k,plural_as_count,plural_as_freq_10k,plural_es_count,plural_es_freq_10k,h_count,h_freq_10k,final_ch_count,final_ch_freq_10k,final_c_count,final_c_freq_10k
1830,68,401131,17631,439.532222640484,20,0.4985902361074063,4405,109.81449950265623,0,0.0,8004,199.53581249018401,3647,90.91792955418555,1640,40.88439936080732,335,8.351386454799055,19226,479.2947939700497,1505,37.51891526708232,36,0.8974624249933313,2659,66.28757189047967,4737,118.09109742203918,34,0.8476034013825908,17021,424.3252204392081,9970,248.54723269954204,16583,413.40609426845594,3094,77.13190952581576,1140,28.41964345812216
1840,67,269996,10189,377.37596112535,1067,39.519103986725725,1983,73.4455325264078,81,3.00004444510289,5333,197.52144476214463,2512,93.03841538393162,1459,54.037837597594034,317,11.740914680217484,14161,524.4892516926177,399,14.777996711062386,32,1.1852027437443517,1262,46.74143320641787,2560,94.81621949954814,30,1.1111275722603298,10497,388.7835375338894,10452,387.1168461754989,11251,416.7098771833657,1539,57.00084445695492,969,35.889420584008654
1850,42,339035,12603,371.73153214269917,87,2.5661067441414604,3184,93.91360773961391,36,1.0618372734378456,6818,201.10018139720086,3611,106.50817762177945,1635,48.225109501968824,265,7.816302151695253,11836,349.1084991225095,175,5.161708968100639,222,6.547996519533382,2130,62.8253720117392,3932,115.97622664326693,65,1.9172061881516658,17112,504.7266506407893,10610,312.9470408659873,12898,380.43269868892594,2589,76.36379724807173,1068,31.501172445322755
1860,56,487626,16729,343.07030388043296,99,2.0302444906547232,4315,88.48994926439525,245,5.024342426367749,8408,172.42722906489809,3608,73.99113254830546,1002,20.54853514783871,229,4.6962221046457735,18145,372.1089523528278,155,3.1786656166816374,393,8.059455402296022,4642,95.19590833958813,5789,118.71803390303224,68,1.3945113673183958,17118,351.0477292022985,14000,287.10528150672855,22641,464.31076275670284,4542,93.14515632882579,828,16.98022664911223
1870,78,1294573,47633,367.9437158043618,200,1.5449109474707103,12214,94.34771156203628,66,0.5098206126653345,23867,184.36194791641725,10617,82.01159764648266,1889,14.59168389886086,793,6.125571906721367,52236,403.49984126040016,82,0.6334134884629913,979,7.562339087869128,12681,97.95507862438039,18405,142.1704299409921,140,1.0814376632294973,48517,374.7722221921823,38690,298.8630227882089,65588,506.6380961135448,12835,99.14466005393284,1205,9.30808845851103
1880,106,1660785,56398,339.5864004070364,164,0.9874848339791122,15959,96.09311259434544,481,2.896220763072884,27786,167.3064243716074,13314,80.16690902193842,1674,10.079570805372159,747,4.497872993795102,62749,377.8273527277763,1387,8.351472345908713,1357,8.170834876278386,15196,91.4988996167475,24366,146.7137528337503,489,2.9443907549743042,66396,399.78684778583624,50896,306.4574884768348,80022,481.83238649193004,14707,88.5545088617732,1342,8.080516141463224
1890,107,1292863,42615,329.61729123658114,980,7.580076156561058,11655,90.1487628619583,542,4.192246200873565,19685,152.25897871622902,9104,70.41736054013457,3229,24.975577458709857,1149,8.887252554988425,50572,391.1628687649039,1390,10.751332507775379,2726,21.08498734978107,13100,101.3255078070917,19813,153.24902947953495,378,2.923743660387837,39438,305.04392190046434,48762,377.162932190031,63555,491.5834082961613,12119,93.73769687894232,1188,9.188908646933202
1900,140,2022675,57168,282.63561867329156,17125,84.66510932304992,13081,64.67178365283597,3223,15.934344370697222,14581,72.0877056373367,5039,24.912553919932762,24398,120.6224430518991,15059,74.45091277639759,30756,152.05606437020282,14891,73.62032951413352,7795,38.538074579455426,18675,92.328228707034,31118,153.84577354246233,838,4.143028415341071,25989,128.48826430345952,127408,629.8985254675122,88142,435.7694637052418,12740,62.985897388359476,7829,38.70616881110411
1910,155,1807293,19219,106.34136246862019,44358,245.43889673672172,4386,24.268339444683292,11646,64.43891499607425,7236,40.03778026031197,1627,9.002414107729074,33974,187.98280079655044,18633,103.09894411144181,5107,28.25773131418093,27765,153.62755236699306,10600,58.6512535598821,16896,93.48788491960076,26754,148.03355073029113,939,5.195615763465027,4480,24.788454334742624,123456,683.0989773102646,60555,335.05911880364727,3922,21.700963817156378,13001,71.93631580490823
1920,81,1079342,1214,11.247593441189169,36213,335.5099681102005,598,5.540412584704384,8777,81.31806230092037,2176,20.160431077452746,654,6.0592472080211826,24577,227.70354530816,13557,125.60430336260426,815,7.55089675005698,20349,188.53153124774167,6742,62.463982685747425,10544,97.68914764736293,16030,148.5164109244336,524,4.854809689607187,2717,25.17274413485253,75818,702.4464905470185,34064,315.59968944041833,730,6.763379911093982,10292,95.35439184243732
