year,documents,word_count,y_count,y_freq_10k,i_count,i_freq_10k,ab_count,ab_freq_10k,amb_count,amb_freq_10k,lo_count,lo_freq_10k,los_count,los_freq_10k,el_count,el_freq_10k,els_count,els_freq_10k,a_acute_count,a_acute_freq_10k,a_grave_count,a_grave_freq_10k,cedilla_count,cedilla_freq_10k,ny_count,ny_freq_10k,ss_count,ss_freq_10k,qu_diaeresis_count,qu_diaeresis_freq_10k,plural_as_count,plural_as_freq_10k,plural_es_count,plural_es_freq_10k,h_count,h_freq_10k,final_ch_count,final_ch_freq_10k,final_c_count,final_c_freq_10k
1832,2,42058,2392,568.7384088639498,2,0.47553378667554325,328,77.9875410147891,0,0.0,891,211.85030196395454,552,131.24732512244995,0,0.0,0,0.0,2109,501.4503780493604,0,0.0,0,0.0,321,76.3231727614247,402,95.58229112178421,0,0.0,1327,315.51666745922296,1275,303.15278900565886,2438,579.6756859574873,267,63.48376052118503,4,0.9510675733510865
1833,15,80555,3248,403.20278070883245,6,0.7448327229842964,588,72.99360685246106,0,0.0,1411,175.1598286884737,421,52.2624293960648,815,101.17311153870027,206,25.572590155794177,6389,793.1227111911116,169,20.97945503072435,14,1.7379430202966917,354,43.94513065607349,928,115.20079448823785,0,0.0,2985,370.55427968468746,1778,220.71876357767985,3209,398.3613680094345,455,56.48314815964248,237,29.420892557879707
1834,14,80522,3490,433.42192195921615,6,0.7451379747149848,668,82.9586945182683,0,0.0,1570,194.977770050421,922,114.50286878120265,82,10.183552321104791,5,0.6209483122624873,2611,324.2592086634709,50,6.2094831226248735,7,0.8693276371674822,554,68.8010729986836,897,111.39812721989021,32,3.974069198479919,4357,541.0943593055314,2128,264.27560169891456,2904,360.6467797620526,527,65.44795211246615,230,28.563622364074412
1835,12,70444,3655,518.8518539549145,1,0.14195673158821193,1323,187.80875589120436,0,0.0,1102,156.43631821020955,503,71.4042359888706,147,20.867639543467153,8,1.1356538527056954,3327,472.29004599398104,339,48.123332008403835,5,0.7097836579410596,422,59.90574073022543,969,137.55607290897734,1,0.14195673158821193,3118,442.62108909204477,1496,212.367270455965,3526,500.5394355800352,1209,171.6256884901482,128,18.170461643291127
1836,3,16563,643,388.2146954054217,0,0.0,170,102.63841091589688,0,0.0,272,164.221457465435,122,73.65815371611423,372,224.5969932983155,110,66.41308941616857,1791,1081.32584676689,2,1.2075107166576105,1,0.6037553583288052,55,33.20654470808429,237,143.09001992392683,0,0.0,554,334.4804685141581,341,205.88057719012255,568,342.9330435307613,15,9.056330374932077,92,55.54549296625007
1837,9,42342,2023,477.7762032969628,2,0.4723442444853809,598,141.2309291011289,0,0.0,1136,268.2915308676964,436,102.97104529781305,7,1.6532048556988335,0,0.0,1680,396.76916536772,144,34.00878560294743,8,1.8893769779415237,240,56.68130933824571,572,135.09045392281897,0,0.0,2099,495.7252845874073,1072,253.17651504416418,1750,413.3012139247083,411,97.06674224174579,84,19.838458268386
1838,4,20604,823,399.4370025237818,0,0.0,195,94.64181712288875,0,0.0,508,246.55406717142301,242,117.4529217627645,33,16.016307513104252,1,0.48534265191225007,449,217.91885070860027,149,72.31605513492526,1,0.48534265191225007,247,119.87963502232576,232,112.59949524364201,1,0.48534265191225007,897,435.3523587652883,505,245.09803921568627,771,374.19918462434475,58,28.149873810910503,89,43.195496020190255
1839,9,48043,1357,282.4553004600046,3,0.6244406052910934,535,111.35857461024499,0,0.0,1114,231.875611431426,449,93.45794392523364,184,38.29902379118706,5,1.0407343421518223,870,181.0877755344171,652,135.71175821659762,0,0.0,466,96.99644068854984,500,104.07343421518223,0,0.0,1684,350.5193264367337,1375,286.20194409175116,1417,294.94411256582646,152,31.6383240014154,276,57.44853568678059
1840,6,5502,271,492.54816430388945,0,0.0,64,116.32133769538349,0,0.0,103,187.2046528535078,33,59.978189749182114,139,252.63540530716105,35,63.613231552162844,471,856.0523446019629,5,9.087604507451836,1,1.817520901490367,10,18.175209014903672,51,92.69356597600873,0,0.0,115,209.01490367139223,102,185.38713195201746,189,343.5114503816794,10,18.175209014903672,15,27.262813522355508
1841,5,14203,586,412.5888896711962,1,0.7040766035344646,117,82.37696261353236,0,0.0,356,250.65127085826938,210,147.85608674223755,54,38.020136590861085,8,5.632612828275716,468,329.5078504541294,16,11.265225656551433,0,0.0,45,31.683447159050903,126,88.71365204534253,0,0.0,1044,735.0559740899811,488,343.5893825248187,454,319.6507780046469,55,38.72421319439555,9,6.336689431810181
