id,filename,author,title,year,text_type,genre,translation,variant,word_count
795,000795_Manual_del_peregri_de_la_Hospitalitat_de.out.txt,Hospitalitat de Nostra Senyora de Lourdes de Catalunya,Instruccions i advertiments,1925,NLIT,,no,central,5842
1763,001763_Novellistica_popular.out.txt,"Serra i Pagès, Rossend",Novel·lística popular,1902,NLIT,,no,central,10803
2103,002103_Excursio_a_la_montanya_de_Monseny.out.txt,"Osona, Artur",Excursió á la montanya de Monseny,1879,NLIT,,no,central,3107
1824,001824_Discurs_pronunciat_en_la_solemne_festa_d.out.txt,"Collell, Jaume",Discurs pronunciat en la solemne festa dels Jochs Florals celebrats lo dia 13 de maig de 1899 en los Camps Eliseus de Lleyda,1899,NLIT,,no,central,3954
2248,002248_Carta_a_Francesc_Matheu_6IV1935.out.txt,"Badia i Mullet, Ramon",[Carta a Francesc Matheu (6/IV/1935)],1935,NLIT,,no,central,344
1765,001765_Consideracions_respecte_a_pronostic.out.txt,"Freixas i Freixas, Joan",Consideracions respecte a pronóstic,1911,NLIT,,no,central,14408
487,000487_La_nacionalitzacio_de_la_benzina.out.txt,"Faura i Sans, Marià",La nacionalització de la benzina,1917,NLIT,,no,central,2260
1679,001679_Lleuger_estudi_o_petites_observacions_so.out.txt,"Valls i Vicens, Josep Maria",Lleuger estudi ó petites observacions sobre la educació dels fills,1898,NLIT,,no,central,36000
2003,002003_Aplicacio_del_art_a_l_industria.out.txt,"Sanpere i Miquel, Salvador",Aplicació del art á l'industria,1881,NLIT,,no,central,12436
2760,002760_Evangelis_des_diumenges_y_festas_en_que_.out.txt,Anònim,Evangelis des diumenges y festas en que no se pot trabaiá,1847,NLIT,,no,baleàric,25380
814,000814_La_recomanacio_de_l_anima.out.txt,"Forn, Josep",La recomanació de l'ànima,1920,NLIT,,sí,central,2941
2015,002015_Medis_pera_millorar_la_condicio_social_d.out.txt,"Puig i Savall, Lluís",Medis pera millorar la condició social dels obrers,1883,NLIT,,no,central,15747
1127,001127_Enigmistica_popular_endevinalles_i_altre.out.txt,"Serra i Boldú, Valeri",Enigmística popular: endevinalles i altres jocs d'esperit,1922,NLIT,,no,nord-occidental,6055
3054,003054_La_pubilleta_del_Molins.out.txt,"Ginestà Punset, General",La pubilleta del Molins,1896,LIT,N,no,central,17531
869,000869_El_tresor_amagat_de_la_santa_missa.out.txt,Foment de Pietat Catalana,El tresor amagat de la santa missa,1916,NLIT,,sí,central,28253
3304,003304_Com_l_anell_al_dit.out.txt,"Riera i Bertran, Joaquim",Com l'anell al dit,1884,LIT,T,no,central,14492
2012,002012_Proleg.out.txt,"Briz, Francesc Pelagi",[Pròleg],1866,NLIT,,no,central,7996
1839,001839_Les_nostres_festes_majors.out.txt,"Collell, Jaume",Les nostres festes majors,1907,NLIT,,no,central,2308
2820,002820_Documents_notarials_I_Reus.out.txt,"Sostres, Magí","[Documents notarials, I. Reus]",1853,NLIT,,no,central,841
1940,001940_Discurs.out.txt,"Rubió i Ors, Joaquim",Discurs,1890,NLIT,,no,central,4695
2235,002235_Carta_a_Francesc_Matheu_26V1915.out.txt,"Rubió i Lluch, Antoni",[Carta a Francesc Matheu (26/V/1915)],1915,NLIT,,no,central,817
1892,001892_La_manifestacio_de_les_passions_en_el_te.out.txt,"Maseras i Galtés, Alfons",La manifestació de les passions en el teatre,1908,NLIT,,no,central,6280
2328,002328_Catalunya_Origen_de_sas_armas.out.txt,M. R. B.,Catalunya. Orígen de sas armas,1843,NLIT,,no,central,1459
1750,001750_Regionalisme_y_particularisme.out.txt,"Almirall, Valentí",Regionalisme y particularisme,1901,NLIT,,no,central,16294
763,000763_Figures_i_llegendes_mitologiques.out.txt,"Maseras i Galtés, Alfons",Figures i llegendes mitològiques,1932,NLIT,,sí,central,43732
169,000169_Memories_d_un_cabaler.out.txt,"Raventós i Domènech, Jaume",Memòries d'un cabaler,1932,LIT,N,no,central,101580
1617,001617_Los_segurs_sobre_la_vida_entre_ls_pageso.out.txt,"Salarich i Verdaguer, Joaquim",Los segurs sobre la vida entre'ls pagesos,1881,NLIT,,no,central,4068
