decade,text_type,documents,word_count,word_share
1830,LIT,24,165452,0.41246375872221297
1830,NLIT,44,235679,0.587536241277787
1840,LIT,15,66961,0.2480073778870798
1840,NLIT,52,203035,0.7519926221129202
1850,LIT,15,131621,0.3882224549087852
1850,NLIT,27,207414,0.6117775450912147
1860,LIT,36,343683,0.7048086033148355
1860,NLIT,20,143943,0.2951913966851645
1870,LIT,41,895410,0.6916643557373744
1870,NLIT,37,399163,0.3083356442626256
1880,LIT,44,1131107,0.681067687870495
1880,NLIT,62,529678,0.318932312129505
1890,LIT,46,740453,0.5727234826891945
1890,NLIT,61,552410,0.42727651731080557
1900,LIT,50,911146,0.4504658434993264
1900,NLIT,90,1111529,0.5495341565006736
1910,LIT,36,649664,0.3594679999313891
1910,NLIT,119,1157629,0.6405320000686109
1920,LIT,20,496267,0.459786610731353
1920,NLIT,61,583075,0.540213389268647
1930,LIT,15,432739,0.44394096230176033
1930,NLIT,42,542028,0.5560590376982397
1940,LIT,5,154422,0.3550028966316312
1940,MIXED,23,225376,0.51812004009306
1940,NLIT,3,55190,0.12687706327530873
