year,documents,word_count
1832,2,42058
1833,15,80555
1834,14,80522
1835,12,70444
1836,3,16563
1837,9,42342
1838,4,20604
1839,9,48043
1840,6,5502
1841,5,14203
1842,3,6245
1843,19,45960
1844,8,36210
1845,12,41759
1846,8,35632
1847,3,52515
1848,1,18744
1849,2,13226
1850,2,9625
1851,3,16617
1852,4,60766
1853,3,11822
1854,4,14556
1855,6,36816
1856,1,10872
1857,9,80691
1858,5,39840
1859,5,57430
1860,3,6321
1861,5,21858
1862,5,22767
1864,2,34213
1865,7,60033
1866,12,121762
1867,10,78246
1868,9,101442
1869,3,40984
1870,2,11278
1871,9,175531
1872,7,194643
1873,4,9688
1874,9,192899
1875,7,87083
1876,7,91126
1877,12,225276
1878,10,142036
1879,11,165013
1880,8,152447
1881,7,83457
1882,13,182044
1883,14,157924
1884,13,148602
1885,7,197912
1886,9,235797
1887,12,171744
1888,11,137899
1889,12,192959
1890,12,128431
1891,9,174315
1892,8,119457
1893,12,179535
1894,9,143830
1895,18,74947
1896,9,125752
1897,4,32596
1898,14,253777
1899,12,60223
1900,20,268475
1901,11,163372
1902,15,254001
1903,9,140975
1904,14,185040
1905,10,205777
1906,18,253554
1907,11,152385
1908,19,273227
1909,13,125869
1910,15,123071
1911,12,120783
1912,17,140542
1913,5,33707
1914,15,196579
1915,19,199120
1916,17,208509
1917,20,290238
1918,22,297966
1919,13,196778
1920,12,141586
1921,12,153719
1922,11,124151
1923,12,190879
1924,4,38857
1925,9,97074
1926,5,35286
1927,9,150511
1928,3,86916
1929,4,60363
1930,12,204187
1931,4,121120
1932,6,206450
1933,8,99924
1934,7,79100
1935,4,110987
1936,3,20659
1937,11,88690
1938,1,3695
1939,1,39955
1940,4,37971
1941,2,29346
1942,1,12914
1943,1,12862
1944,1,14079
1945,2,38908
1946,7,64419
1947,6,60698
1948,7,163791
