year,documents,word_count,max_source_share,max_text_type_share,missing_year,low_documents,low_word_count,source_dominated,text_type_dominated
1832,2,42058,1.0,1.0,False,True,False,True,True
1833,15,80555,1.0,0.5516975979144684,False,False,False,True,False
1834,14,80522,1.0,0.888564615881374,False,False,False,True,True
1835,12,70444,1.0,0.7699875078076203,False,False,False,True,False
1836,3,16563,1.0,0.6823039304473827,False,False,True,True,False
1837,9,42342,1.0,1.0,False,False,False,True,True
1838,4,20604,1.0,0.6042516016307513,False,False,False,True,False
1839,9,48043,1.0,0.7143808671398538,False,False,False,True,False
1840,6,5502,1.0,0.7075608869501999,False,False,True,True,False
1841,5,14203,1.0,0.9508554530732943,False,False,True,True,True
1842,3,6245,1.0,0.8142514011208967,False,False,True,True,True
1843,19,45960,1.0,1.0,False,False,False,True,True
1844,8,36210,1.0,0.9095553714443524,False,False,False,True,True
1845,12,41759,1.0,0.7202279748078259,False,False,False,True,False
1846,8,35632,1.0,0.8635215536596318,False,False,False,True,True
1847,3,52515,1.0,1.0,False,False,False,True,True
1848,1,18744,1.0,1.0,False,True,True,True,True
1849,2,13226,1.0,0.8738847724179646,False,True,True,True,True
1850,2,9625,1.0,1.0,False,True,True,True,True
1851,3,16617,1.0,0.9336823734729494,False,False,True,True,True
1852,4,60766,1.0,0.7055590297205674,False,False,False,True,False
1853,3,11822,1.0,1.0,False,False,True,True,True
1854,4,14556,1.0,0.6369194833745534,False,False,True,True,False
1855,6,36816,1.0,0.7768089960886571,False,False,False,True,False
1856,1,10872,1.0,1.0,False,True,True,True,True
1857,9,80691,1.0,0.7931863528770247,False,False,False,True,False
1858,5,39840,1.0,0.5255522088353414,False,False,False,True,False
1859,5,57430,1.0,0.7937314992164374,False,False,False,True,False
1860,3,6321,1.0,0.7275747508305648,False,False,True,True,False
1861,5,21858,1.0,0.6614511849208528,False,False,False,True,False
1862,5,22767,1.0,1.0,False,False,False,True,True
1863,0,0,,,True,True,True,False,False
1864,2,34213,1.0,0.568877327331716,False,True,False,True,False
1865,7,60033,1.0,0.7632968533972981,False,False,False,True,False
1866,12,121762,1.0,0.7398695816428771,False,False,False,True,False
1867,10,78246,1.0,0.6350484369808042,False,False,False,True,False
1868,9,101442,1.0,0.5966365016462609,False,False,False,True,False
1869,3,40984,1.0,1.0,False,False,False,True,True
1870,2,11278,1.0,1.0,False,True,True,True,True
1871,9,175531,1.0,0.7792469706205741,False,False,False,True,False
1872,7,194643,1.0,0.7497110093864151,False,False,False,True,False
1873,4,9688,1.0,0.7907720891824938,False,False,True,True,False
1874,9,192899,1.0,0.6391220275895676,False,False,False,True,False
1875,7,87083,1.0,0.8553678674368131,False,False,False,True,True
1876,7,91126,1.0,0.5815574040339749,False,False,False,True,False
1877,12,225276,1.0,0.81678030504803,False,False,False,True,True
1878,10,142036,1.0,0.8736376693232701,False,False,False,True,True
1879,11,165013,1.0,0.685982316544757,False,False,False,True,False
1880,8,152447,1.0,1.0,False,False,False,True,True
1881,7,83457,1.0,0.6688953592868183,False,False,False,True,False
1882,13,182044,1.0,0.6557425677308782,False,False,False,True,False
1883,14,157924,1.0,0.5090486563156962,False,False,False,True,False
1884,13,148602,1.0,0.6161289888426804,False,False,False,True,False
1885,7,197912,1.0,0.5028345931525122,False,False,False,True,False
1886,9,235797,1.0,0.7315233018231784,False,False,False,True,False
