period,filename,source,word_count,period_word_count,largest_document_share
1830,003391_Los_fets_dels_apostols.out.txt,CTILC,23256,203135,0.11448544071676471
1835,003053_Compendi_de_la_historia_de_Espanya.out.txt,CTILC,25102,197996,0.1267803389967474
1840,001624_Mon_nou_o_renovat_en_lo_moral_ab_lo_degu.out.txt,CTILC,20819,108120,0.19255456899741027
1845,002760_Evangelis_des_diumenges_y_festas_en_que_.out.txt,CTILC,25380,161876,0.1567866762213052
1850,002066_Lo_jardiner_hortola_y_florista_o_modo_or.out.txt,CTILC,28603,113386,0.2522621840438855
1855,002277_Facilitat_de_ser_sant_o_metodo_breu_y_se.out.txt,CTILC,33737,225649,0.14951096614653733
1860,002074_Resenya_historica_y_critica_dels_antichs.out.txt,CTILC,19463,85159,0.22854894961190245
1865,000057_La_Xinxa.out.txt,CTILC,29422,402467,0.07310413027651956
1870,002985_Vetlladas_a_la_vora_del_foch_y_a_la_llum.out.txt,CTILC,68601,584039,0.11745962170334516
1875,003013_La_guerra.out.txt,CTILC,107828,710534,0.1517562847098098
1880,003284_Costums_que_s_perden_y_recorts_que_fugen.out.txt,CTILC,55458,724474,0.0765493309628779
1885,003291_Lo_catalanisme.out.txt,CTILC,97136,936311,0.10374330751214073
1890,003006_La_Montserrat.out.txt,CTILC,74051,745568,0.09932159105541011
1895,001800_La_Republica_d_Andorra_guia_itineraria.out.txt,CTILC,38819,547295,0.07092884093587554
1900,003045_La_punyalada.out.txt,CTILC,61293,1011863,0.06057440582371329
1905,001801_Curs_de_geologia_dinamica_y_estratigrafi.out.txt,CTILC,85958,1010812,0.08503856305623597
1910,000453_El_municipi_com_a_govern.out.txt,CTILC,67647,614682,0.11005202690171503
1915,000587_Filosofia_critica.out.txt,CTILC,67634,1192611,0.05671086381058032
1920,000098_L_illa_de_la_calma.out.txt,CTILC,53327,649192,0.08214364933640587
1925,000184_Les_dites_i_facecies_de_l_estrenu_filant.out.txt,CTILC,70373,430150,0.1636010693943973
1930,000169_Memories_d_un_cabaler.out.txt,CTILC,101580,710781,0.14291321799541631
1935,000378_De_la_meua_garbera.out.txt,CTILC,58686,263986,0.22230724356594667
1940,000384_Records_vells_i_histories_noves.out.txt,CTILC,15294,107172,0.14270518418990036
1945,000387_L_impenitent.out.txt,CTILC,110596,327816,0.33737218439612465
