feature,baseline,threshold,sustained_start,permanent_start
y,369.47911708642624,0.2,1915.0,1915.0
y,369.47911708642624,0.25,1915.0,1915.0
y,369.47911708642624,0.3,1915.0,1915.0
y,369.47911708642624,0.4,1915.0,1915.0
i,7.150243118637364,0.2,1830.0,
i,7.150243118637364,0.25,1830.0,
i,7.150243118637364,0.3,1830.0,
i,7.150243118637364,0.4,1830.0,
ab,92.14440272799,0.2,1915.0,1915.0
ab,92.14440272799,0.25,1915.0,1915.0
ab,92.14440272799,0.3,1915.0,1915.0
ab,92.14440272799,0.4,1915.0,1915.0
amb,2.1660831843981545,0.2,1830.0,
amb,2.1660831843981545,0.25,1830.0,
amb,2.1660831843981545,0.3,1830.0,
amb,2.1660831843981545,0.4,1830.0,
lo,183.7555916452058,0.2,1915.0,1940.0
lo,183.7555916452058,0.25,1915.0,1940.0
lo,183.7555916452058,0.3,1915.0,1915.0
lo,183.7555916452058,0.4,1905.0,1905.0
los,84.59954203356214,0.2,1910.0,1940.0
los,84.59954203356214,0.25,1905.0,1905.0
los,84.59954203356214,0.3,1905.0,1905.0
los,84.59954203356214,0.4,1900.0,1900.0
el,30.55331747363485,0.2,,
el,30.55331747363485,0.25,,
el,30.55331747363485,0.3,,
el,30.55331747363485,0.4,1880.0,
els,7.804450587792417,0.2,,
els,7.804450587792417,0.25,,
els,7.804450587792417,0.3,,
els,7.804450587792417,0.4,,
a_acute,408.0108833149883,0.2,1910.0,1910.0
a_acute,408.0108833149883,0.25,1910.0,1910.0
a_acute,408.0108833149883,0.3,1905.0,1905.0
a_acute,408.0108833149883,0.4,1905.0,1905.0
a_grave,12.326720016026403,0.2,1865.0,
a_grave,12.326720016026403,0.25,1865.0,
a_grave,12.326720016026403,0.3,1865.0,
a_grave,12.326720016026403,0.4,1865.0,
cedilla,7.4091099879419255,0.2,1830.0,
cedilla,7.4091099879419255,0.25,1830.0,
cedilla,7.4091099879419255,0.3,1830.0,
cedilla,7.4091099879419255,0.4,1830.0,
ny,80.52452632828795,0.2,,
ny,80.52452632828795,0.25,,
ny,80.52452632828795,0.3,,
ny,80.52452632828795,0.4,,
ss,126.03781466384987,0.2,,
ss,126.03781466384987,0.25,,
ss,126.03781466384987,0.3,,
ss,126.03781466384987,0.4,,
qu_diaeresis,1.6783510448694,0.2,,
qu_diaeresis,1.6783510448694,0.25,,
qu_diaeresis,1.6783510448694,0.3,,
qu_diaeresis,1.6783510448694,0.4,,
plural_as,391.9621191812167,0.2,1905.0,1905.0
plural_as,391.9621191812167,0.25,1905.0,1905.0
plural_as,391.9621191812167,0.3,1905.0,1905.0
plural_as,391.9621191812167,0.4,1905.0,1905.0
plural_es,316.43681259418355,0.2,,
plural_es,316.43681259418355,0.25,,
plural_es,316.43681259418355,0.3,,
plural_es,316.43681259418355,0.4,,
h,448.99961200566844,0.2,,
h,448.99961200566844,0.25,,
h,448.99961200566844,0.3,,
h,448.99961200566844,0.4,,
final_ch,83.43787084554596,0.2,1915.0,1915.0
final_ch,83.43787084554596,0.25,1915.0,1915.0
final_ch,83.43787084554596,0.3,1915.0,1915.0
final_ch,83.43787084554596,0.4,1915.0,1915.0
final_c,20.7275457633891,0.2,,
final_c,20.7275457633891,0.25,,
final_c,20.7275457633891,0.3,,
final_c,20.7275457633891,0.4,,
