feature,slope,intercept,r_squared,p_value,std_error
y,-4.252916841279562,8279.279066193954,0.8312867409296992,5.767089842553245e-10,0.40848369988163774
i,3.6596733322813915,-6790.672390577916,0.7319796575121164,9.93073080799901e-08,0.47213408414895
ab,-0.981121164675271,1914.5758539847568,0.6973578363374726,3.8613413970820553e-07,0.13779967008556987
amb,0.8943799548894914,-1659.8116406893298,0.7285943835242586,1.1424628210772803e-07,0.11637969709682477
lo,-2.0946004506354163,4075.5079897579803,0.864690859547492,5.0023313673650106e-11,0.1766538007159077
los,-1.0013405266310902,1944.2445430519563,0.8020844710460944,3.3931153976260356e-09,0.10604747555466618
el,2.1133630872579685,-3889.2519293144705,0.6855827165142679,5.920671576596834e-07,0.30513080339752224
els,1.320204748547604,-2441.641018624469,0.7637883668096245,2.427627220831759e-08,0.1565287335998702
a_acute,-5.008814838304058,9709.275618644644,0.7929999935518734,5.5875401102276085e-09,0.5455973151751905
a_grave,1.889203523685211,-3493.533277778878,0.6961015466354371,4.0446039998378306e-07,0.26613093028780527
cedilla,0.684696759519887,-1264.7996593993491,0.8690509635365894,3.4810416611293654e-11,0.05666507435151228
ny,0.4052327487795961,-676.9351249580498,0.427334607747077,0.000531613187286324,0.1000137315848702
ss,0.5406327327601979,-882.032982959855,0.6790065358598315,7.46648138345168e-07,0.0792505187642651
qu_diaeresis,0.04872380366853589,-88.86427082952467,0.6890670203626795,5.225856685557322e-07,0.00697802476158016
plural_as,-4.7204454617578175,9158.346470229777,0.8083919624730604,2.3677645024200057e-09,0.48996776858340324
plural_es,4.6559466689205165,-8322.120008476037,0.7569383331118129,3.338126384533619e-08,0.562502740807343
h,-1.3951914184917276,3032.4539176859066,0.3606669611088007,0.0019158166385834802,0.3960343442009192
final_ch,-0.7917890273872,1551.3875250540368,0.5437858779532114,3.93380734658501e-05,0.15462102164868877
final_c,0.6794065112384196,-1238.5048128895494,0.5282700306586295,5.7547360858758276e-05,0.13687909076349336
